,week,avg_mov,srs_rating,srs_rating_normalized,bayesian_rating,pre_season_wt_rating,srs_rating_w_qb_adj,srs_rating_normalized_w_qb_adj,bayesian_rating_w_qb_adj,pre_season_wt_rating_w_qb_adj
0,2.0,21.702432026677478,12.533362162762428,12.534695880569192,12.514594483486308,12.641487860612608,12.533362162762428,12.534695880569192,12.514594483486308,12.641487860612608
1,3.0,18.399452660196992,14.078492823052956,14.026093616493853,14.038761359706875,14.203548830077086,14.06761890312226,14.018066289300885,14.023792443378069,14.180342955927754
2,4.0,16.530972114594906,13.921345722285935,13.898704911087881,13.837425611879121,14.094274245135765,13.954359344077945,13.931442114641383,13.867106369095312,14.114021057534991
3,5.0,15.346417996637571,13.648703323303442,13.656811975466486,13.78314915918798,14.325263901160628,13.721791762697988,13.732796762301323,13.851542374459818,14.376576840022665
4,6.0,15.225930695241722,13.280041854908285,13.223246658084316,13.131527989782704,13.397941625922517,13.253489207535535,13.17987825202783,13.080047717177194,13.31449005326271
5,7.0,15.51397839373604,14.524433191187015,14.591389457824976,14.635432296724101,15.307075852007253,14.492267694066646,14.548006453594452,14.576685049793454,15.212379386065665
6,8.0,14.08789065208904,13.15945106916744,13.194724160038712,13.079024808249878,13.880847539404035,13.017977765084693,13.051494043357447,12.909277218128492,13.684984079281847
7,9.0,13.621111008252214,12.845081388992156,12.688895985644782,12.824823272782334,13.538509535571778,12.733850931119049,12.554848798580196,12.660197445007162,13.306783366738685
8,10.0,15.55583522985126,14.742981660414896,14.460472451049021,14.486023383410872,14.902280848875574,14.892711403573122,14.594465946315516,14.59655240428368,14.945347336374466
9,11.0,13.345773701045351,12.904829392329422,13.00607125527607,13.14419483524897,14.23311239211723,12.778314512929825,12.852663651741528,12.97081556968492,14.007598104554988
10,12.0,12.774051196545484,12.64871398394737,12.645810133622245,12.836232466148584,14.034326726014047,12.632526133583426,12.628895597215363,12.805134090287009,13.973121630632678
11,13.0,13.561388155306995,13.409087066096598,13.377437001119441,13.595345234187675,14.836082766323905,13.383062583452316,13.343208016598915,13.543360902761652,14.732608295650191
12,14.0,13.886783053745816,13.735893678389578,13.898416198900353,13.879891692733878,15.019854189471179,13.576616059273139,13.731898789441724,13.675265101213345,14.76975245488785
13,15.0,13.953682362623413,13.58693500629717,13.518798607347497,13.733808396119452,14.895188791080926,13.543918888877004,13.436035062220446,13.614782758332149,14.684287807084894
14,16.0,14.470201508670014,14.344489837474429,14.247161105364993,14.395991059299794,15.489091637956625,14.343027619496953,14.20172522245875,14.334783854168075,15.338580574736492
15,17.0,15.044288775141583,14.903877335377643,14.608594978250428,14.674202579164525,15.481976214320884,14.828487370080397,14.458861416702227,14.505252812940691,15.168383642166479
16,18.0,13.316973267923105,13.071084427261596,12.811951327014736,13.008421136044086,13.614490832667311,13.06280207928953,12.803767580307508,12.963722843237601,13.520339864544829
