,team,season,wt_rating,wt_rating_elo,sos,line,over_odds,under_odds,source,source_date,hold,over_probability,under_probability,line_adj
86,NYG,2005,-1.4806,1462.6981,0.3384,6.5,-120,-110,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0693,0.5101,0.4899,6.5194
87,NYJ,2005,1.039,1534.6858,0.3763,9.0,-125,-105,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0678,0.5203,0.4797,9.039
88,OAK,2005,-0.3844,1494.0183,0.1248,7.5,-145,115,not_tracked,2005-08-30T00:00:00.000000+00:00,0.057,0.5599,0.4401,7.6156
89,PHI,2005,3.4806,1604.4448,-0.2838,11.5,-110,-120,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0693,0.4899,0.5101,11.4806
90,PIT,2005,1.6332,1551.6642,0.3748,9.5,-150,120,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0545,0.569,0.431,9.6332
91,SEA,2005,0.9412,1531.8902,-0.0825,9.0,100,-130,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,8.9412
92,SF,2005,-3.5588,1403.3188,0.1172,4.5,100,-130,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,4.4412
93,TB,2005,-1.0,1476.4286,0.0662,7.0,-115,-115,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,7.0
94,TEN,2005,-1.5,1462.1429,0.0769,6.5,-115,-115,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,6.5
95,WAS,2005,-0.5,1490.7143,-0.0001,7.5,-115,-115,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,7.5
96,ARI,2006,-0.0823,1502.6498,-0.0509,8.0,110,-130,not_tracked,2006-08-30T00:00:00.000000+00:00,0.0414,0.4573,0.5427,7.9177
97,ATL,2006,0.1013,1507.8955,0.4229,8.0,-135,115,not_tracked,2006-08-30T00:00:00.000000+00:00,0.0396,0.5526,0.4474,8.1013
98,BAL,2006,0.0823,1507.3502,0.4418,8.0,-130,110,not_tracked,2006-08-30T00:00:00.000000+00:00,0.0414,0.5427,0.4573,8.0823
99,BUF,2006,-1.2603,1468.9905,0.1338,7.0,165,-185,not_tracked,2006-08-30T00:00:00.000000+00:00,0.0265,0.3676,0.6324,6.7397
100,CAR,2006,2.0,1562.1429,0.1957,10.0,-110,-110,not_tracked,2006-08-30T00:00:00.000000+00:00,0.0476,0.5,0.5,10.0
101,CHI,2006,1.1872,1538.9188,-0.0789,9.0,-160,140,not_tracked,2006-08-30T00:00:00.000000+00:00,0.0321,0.5963,0.4037,9.1872
102,CIN,2006,0.9792,1532.9771,0.7475,9.0,-105,-115,not_tracked,2006-08-30T00:00:00.000000+00:00,0.0471,0.4892,0.5108,8.9792
103,CLE,2006,-1.2677,1468.7813,0.4126,6.5,-175,155,not_tracked,2006-08-30T00:00:00.000000+00:00,0.0285,0.6187,0.3813,6.7323
